epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.15067,1.42706,5.40677,1.45883,0.26195,0.60084,0.36734,0.26568,1.14802,11.0814,1.22005,0.00011,0.00011,0.00011
2,12.6168,1.17749,1.88816,1.29548,0.37787,0.60889,0.54945,0.36321,1.26517,2.47214,1.27123,0.000227723,0.000227723,0.000227723
3,16.8718,1.15907,1.57093,1.25459,0.4664,0.53866,0.49333,0.31272,1.29621,1.81436,1.29014,0.00034307,0.00034307,0.00034307
4,21.0879,1.10725,1.41893,1.24868,0.83887,0.45651,0.55728,0.36252,1.28961,1.52247,1.38116,0.000456041,0.000456041,0.000456041
5,26.3231,1.14641,1.28512,1.26298,0.64096,0.3619,0.44405,0.29203,1.2688,1.79535,1.35648,0.000566636,0.000566636,0.000566636
6,30.3896,1.18445,1.24633,1.25932,0.37647,0.48005,0.42018,0.23867,1.36206,1.50568,1.49892,0.000674855,0.000674855,0.000674855
7,34.4769,1.18101,1.19251,1.25981,0.56749,0.25513,0.30301,0.17881,1.44261,1.63477,1.51319,0.000780698,0.000780698,0.000780698
8,39.6833,1.15618,1.19171,1.26959,0.57275,0.35481,0.37505,0.20748,1.43301,1.52535,1.50914,0.000884165,0.000884165,0.000884165
9,43.8839,1.14348,1.25895,1.27928,0.69653,0.31412,0.40837,0.22076,1.46216,1.52742,1.55086,0.0009208,0.0009208,0.0009208
10,47.8574,1.08269,1.1231,1.23091,0.66247,0.41187,0.38652,0.22971,1.42351,1.81602,1.53931,0.0009109,0.0009109,0.0009109
11,52.9499,1.09094,1.07187,1.22771,0.5566,0.41028,0.48899,0.2936,1.3794,1.36314,1.52405,0.000901,0.000901,0.000901
12,57.6653,1.07747,1.09245,1.20748,0.38396,0.38508,0.36894,0.20629,1.43663,1.40613,1.53453,0.0008911,0.0008911,0.0008911
13,61.8647,1.05343,0.97139,1.21555,0.35886,0.46168,0.33297,0.19061,1.51043,1.42794,1.66589,0.0008812,0.0008812,0.0008812
14,66.6478,1.08967,0.99662,1.21748,0.34044,0.48514,0.3671,0.21407,1.50146,1.46916,1.63186,0.0008713,0.0008713,0.0008713
15,71.4295,1.11289,1.05668,1.24381,0.60319,0.50493,0.4152,0.25418,1.3704,1.55355,1.51448,0.0008614,0.0008614,0.0008614
16,75.5344,1.07297,1.0213,1.22095,0.52435,0.48127,0.46359,0.28743,1.40434,1.36129,1.51456,0.0008515,0.0008515,0.0008515
17,80.2356,1.08409,1.0448,1.21552,0.71328,0.40076,0.47656,0.26859,1.45745,1.66704,1.56531,0.0008416,0.0008416,0.0008416
18,85.1004,1.06982,1.03357,1.23769,0.38048,0.60222,0.56493,0.31893,1.47691,1.56314,1.62814,0.0008317,0.0008317,0.0008317
19,89.2228,1.03946,0.96229,1.20569,0.47249,0.55958,0.55861,0.33826,1.39387,1.3854,1.57934,0.0008218,0.0008218,0.0008218
20,93.4156,1.00739,0.90674,1.17509,0.76702,0.39144,0.50935,0.35613,1.25677,1.32205,1.45252,0.0008119,0.0008119,0.0008119
21,98.7574,0.99837,1.01522,1.24155,0.44129,0.37653,0.41468,0.2572,1.28612,1.20315,1.44186,0.000802,0.000802,0.000802
22,102.951,0.99721,0.92053,1.20555,0.57554,0.39587,0.42741,0.2677,1.34075,1.33015,1.45709,0.0007921,0.0007921,0.0007921
23,107.146,0.98963,0.86292,1.13879,0.46624,0.52588,0.4709,0.27125,1.4248,1.34275,1.54185,0.0007822,0.0007822,0.0007822
24,112.557,1.02167,0.89466,1.1927,0.49905,0.6273,0.57183,0.36114,1.32904,1.26695,1.44534,0.0007723,0.0007723,0.0007723
25,116.968,0.99481,0.87237,1.15429,0.45065,0.66444,0.59406,0.35666,1.31202,1.23593,1.41502,0.0007624,0.0007624,0.0007624
26,121.045,0.94536,0.83077,1.14286,0.76311,0.57023,0.62592,0.40338,1.26319,1.10919,1.3712,0.0007525,0.0007525,0.0007525
27,126.627,0.93406,0.80352,1.14868,0.62263,0.52991,0.60822,0.3984,1.30165,1.18942,1.39212,0.0007426,0.0007426,0.0007426
28,130.83,0.93609,0.8177,1.14149,0.63383,0.52457,0.61191,0.36253,1.32759,1.29047,1.43821,0.0007327,0.0007327,0.0007327
29,135.087,0.86997,0.76,1.11894,0.61969,0.45708,0.50943,0.3289,1.30974,1.26922,1.41365,0.0007228,0.0007228,0.0007228
30,140.108,0.94088,0.80624,1.1109,0.48465,0.53418,0.48923,0.35038,1.24605,1.28231,1.37594,0.0007129,0.0007129,0.0007129
31,144.709,0.93609,0.80257,1.14338,0.63028,0.45662,0.50799,0.35891,1.24449,1.23011,1.35134,0.000703,0.000703,0.000703
32,148.904,0.93597,0.80376,1.16338,0.49134,0.65524,0.5321,0.383,1.25578,1.07949,1.37325,0.0006931,0.0006931,0.0006931
33,153.766,0.88851,0.75083,1.12249,0.68909,0.54594,0.55339,0.37751,1.23834,1.12306,1.35127,0.0006832,0.0006832,0.0006832
34,158.507,0.91236,0.75113,1.11657,0.6249,0.64123,0.5764,0.39864,1.21825,1.05961,1.337,0.0006733,0.0006733,0.0006733
35,162.611,0.89799,0.78217,1.12785,0.73731,0.50847,0.59107,0.38382,1.21571,1.05113,1.31221,0.0006634,0.0006634,0.0006634
36,167.248,0.8409,0.71631,1.11299,0.60719,0.52957,0.58895,0.38352,1.18366,0.97726,1.30841,0.0006535,0.0006535,0.0006535
37,172.014,0.88973,0.73671,1.10089,0.6368,0.60619,0.61606,0.4016,1.27283,1.02009,1.39632,0.0006436,0.0006436,0.0006436
38,176.226,0.89334,0.81353,1.13439,0.68924,0.60476,0.60403,0.39095,1.25267,1.05444,1.3755,0.0006337,0.0006337,0.0006337
39,180.716,0.85262,0.70564,1.07777,0.59182,0.59852,0.5455,0.37486,1.30227,1.12559,1.42806,0.0006238,0.0006238,0.0006238
40,185.62,0.82154,0.71095,1.08252,0.49727,0.57478,0.53513,0.34661,1.29946,1.09399,1.40978,0.0006139,0.0006139,0.0006139
41,189.949,0.82173,0.67001,1.05919,0.70053,0.53619,0.57349,0.36277,1.30217,1.06126,1.44445,0.000604,0.000604,0.000604
42,194.187,0.82858,0.67606,1.07437,0.69439,0.56094,0.57463,0.36259,1.29856,1.0588,1.49147,0.0005941,0.0005941,0.0005941
43,199.28,0.86197,0.72019,1.12864,0.70762,0.5885,0.59167,0.36606,1.31941,1.09495,1.49949,0.0005842,0.0005842,0.0005842
44,203.462,0.81614,0.65486,1.09031,0.57577,0.59838,0.52668,0.33853,1.30036,1.09893,1.49547,0.0005743,0.0005743,0.0005743
45,207.565,0.82243,0.65446,1.06015,0.63247,0.5473,0.51566,0.34483,1.28766,1.13919,1.49188,0.0005644,0.0005644,0.0005644
46,212.718,0.80726,0.62456,1.06009,0.69596,0.56381,0.60006,0.39711,1.22444,1.05702,1.38374,0.0005545,0.0005545,0.0005545
47,217.119,0.80838,0.64493,1.05868,0.59656,0.59543,0.58779,0.39242,1.28174,1.03227,1.38947,0.0005446,0.0005446,0.0005446
48,221.276,0.83094,0.65656,1.06998,0.73377,0.59517,0.6609,0.44276,1.29567,1.00895,1.39561,0.0005347,0.0005347,0.0005347
49,226.423,0.81213,0.64577,1.07194,0.66398,0.62262,0.61836,0.42199,1.22905,1.03264,1.3625,0.0005248,0.0005248,0.0005248
50,231.06,0.83297,0.67547,1.08019,0.65693,0.60625,0.5586,0.37836,1.21449,1.07986,1.37173,0.0005149,0.0005149,0.0005149
51,235.229,0.79694,0.64821,1.07497,0.63992,0.61894,0.57354,0.39069,1.19928,1.08367,1.34897,0.000505,0.000505,0.000505
52,240.182,0.76245,0.57953,1.05251,0.68083,0.57523,0.59107,0.40069,1.20294,1.00983,1.37024,0.0004951,0.0004951,0.0004951
53,244.784,0.80974,0.60516,1.06029,0.7365,0.54776,0.60659,0.41739,1.19289,0.99049,1.35457,0.0004852,0.0004852,0.0004852
54,249.025,0.77304,0.62385,1.04952,0.65072,0.55408,0.58455,0.39727,1.24801,1.06448,1.38055,0.0004753,0.0004753,0.0004753
55,253.878,0.79959,0.65735,1.05507,0.74748,0.53492,0.57713,0.38829,1.20914,1.14381,1.35772,0.0004654,0.0004654,0.0004654
56,258.789,0.74105,0.57564,1.01944,0.68708,0.53472,0.61678,0.42386,1.19456,1.05355,1.33476,0.0004555,0.0004555,0.0004555
57,262.935,0.78314,0.61886,1.03697,0.65132,0.67462,0.6356,0.45685,1.18948,1.02409,1.33176,0.0004456,0.0004456,0.0004456
58,267.59,0.73629,0.57561,1.02984,0.69257,0.55351,0.62999,0.41575,1.19053,0.9579,1.35941,0.0004357,0.0004357,0.0004357
59,272.425,0.73481,0.57542,1.03281,0.68004,0.55731,0.57794,0.39713,1.22062,0.98757,1.41227,0.0004258,0.0004258,0.0004258
60,276.525,0.75741,0.60695,1.03598,0.71806,0.53131,0.55858,0.39054,1.25183,0.97539,1.4432,0.0004159,0.0004159,0.0004159
61,280.705,0.75791,0.57572,1.02579,0.65604,0.58222,0.56509,0.39609,1.22368,0.92726,1.42732,0.000406,0.000406,0.000406
62,286.598,0.69305,0.54659,1.01145,0.59509,0.63143,0.55325,0.39363,1.2755,0.97999,1.41023,0.0003961,0.0003961,0.0003961
63,290.632,0.70581,0.60232,1.02673,0.71453,0.56349,0.59089,0.41128,1.26384,0.96117,1.38137,0.0003862,0.0003862,0.0003862
64,294.833,0.67204,0.53625,1.0135,0.67946,0.57672,0.65385,0.45734,1.25562,0.94474,1.40159,0.0003763,0.0003763,0.0003763
65,300.272,0.6863,0.54849,1.01858,0.70423,0.5743,0.63516,0.45154,1.24405,0.93775,1.39651,0.0003664,0.0003664,0.0003664
66,304.439,0.69206,0.53283,1.01058,0.72675,0.58099,0.63115,0.45132,1.24694,0.93548,1.38616,0.0003565,0.0003565,0.0003565
67,308.598,0.69485,0.51222,0.99231,0.75059,0.59495,0.61583,0.44201,1.23936,0.9461,1.37016,0.0003466,0.0003466,0.0003466
68,313.918,0.68644,0.54019,1.01231,0.77257,0.61014,0.62169,0.45876,1.23549,0.87734,1.39326,0.0003367,0.0003367,0.0003367
69,318.169,0.7093,0.53138,1.00554,0.69981,0.61063,0.6165,0.45827,1.23859,0.90555,1.40383,0.0003268,0.0003268,0.0003268
70,322.209,0.68028,0.52574,1.01385,0.70511,0.56317,0.61454,0.44731,1.24975,0.91853,1.39485,0.0003169,0.0003169,0.0003169
71,327.538,0.68558,0.55339,1.00433,0.76353,0.55183,0.59115,0.42842,1.23451,0.99544,1.3797,0.000307,0.000307,0.000307
72,331.887,0.66311,0.5005,0.98586,0.6869,0.5767,0.57358,0.41719,1.21296,1.01132,1.34951,0.0002971,0.0002971,0.0002971
73,335.956,0.66482,0.50062,0.97063,0.70823,0.56225,0.56639,0.40653,1.18372,1.00995,1.33196,0.0002872,0.0002872,0.0002872
74,340.663,0.67335,0.51835,0.99748,0.74055,0.54344,0.57909,0.43109,1.19804,0.95845,1.34549,0.0002773,0.0002773,0.0002773
75,345.38,0.65146,0.50829,0.99313,0.73932,0.5684,0.57608,0.42982,1.19767,0.9547,1.35416,0.0002674,0.0002674,0.0002674
76,349.588,0.6746,0.50334,1.00548,0.74601,0.56648,0.60063,0.43747,1.18857,0.93355,1.33395,0.0002575,0.0002575,0.0002575
77,354.104,0.63202,0.49629,0.97938,0.67887,0.60541,0.60231,0.43492,1.16573,0.94537,1.31012,0.0002476,0.0002476,0.0002476
78,359.101,0.62266,0.46222,0.96588,0.78805,0.56481,0.58627,0.41479,1.16238,0.96804,1.30985,0.0002377,0.0002377,0.0002377
79,363.166,0.62589,0.46911,0.9666,0.76787,0.55192,0.58718,0.42165,1.18418,0.99327,1.34208,0.0002278,0.0002278,0.0002278
80,367.396,0.64183,0.49796,0.99233,0.75547,0.53293,0.58843,0.41939,1.16283,0.98351,1.32913,0.0002179,0.0002179,0.0002179
81,372.771,0.64134,0.48545,0.98287,0.76115,0.52575,0.57541,0.41881,1.16942,1.0154,1.32292,0.000208,0.000208,0.000208
82,376.868,0.6129,0.45668,0.99629,0.78543,0.54675,0.5751,0.41832,1.16959,1.01929,1.32434,0.0001981,0.0001981,0.0001981
83,381.081,0.61433,0.45052,0.96945,0.78965,0.53888,0.57554,0.42242,1.15548,1.03203,1.32047,0.0001882,0.0001882,0.0001882
84,386.645,0.6211,0.46749,0.99324,0.78766,0.56432,0.58843,0.4324,1.14467,0.98696,1.31609,0.0001783,0.0001783,0.0001783
85,390.775,0.61232,0.46318,0.97991,0.74675,0.58208,0.58761,0.43049,1.15658,0.93722,1.32732,0.0001684,0.0001684,0.0001684
86,394.973,0.59513,0.45004,0.96515,0.72788,0.56598,0.57455,0.41972,1.15036,0.9755,1.33263,0.0001585,0.0001585,0.0001585
87,400.225,0.62168,0.45948,0.96915,0.78411,0.56029,0.56893,0.41179,1.15101,0.99282,1.32953,0.0001486,0.0001486,0.0001486
88,404.655,0.58962,0.45573,0.96923,0.79717,0.54996,0.57469,0.42608,1.15802,0.96789,1.33469,0.0001387,0.0001387,0.0001387
89,408.863,0.58886,0.44293,0.96099,0.77726,0.5628,0.57615,0.42902,1.17909,0.96411,1.34736,0.0001288,0.0001288,0.0001288
90,413.838,0.61392,0.43996,0.96511,0.75742,0.56519,0.57039,0.41695,1.17838,0.99315,1.34914,0.0001189,0.0001189,0.0001189
91,420.771,0.59103,0.45897,0.94556,0.74835,0.57381,0.57383,0.42201,1.16836,0.9484,1.33564,0.000109,0.000109,0.000109
